Node Name,Profile Name,Profile Title,Profile Version,Profile Summary,Control ID,Control Title,Control Impact,Number of Failed Results
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,windows-account-103,Minimum Windows Password Length Configured to be at Least 8 Characters,1,1
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,windows-account-104,Set Windows Account lockout threshold,1,1
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,windows-audit-100,Configure System Event Log (Application),0.1,2
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,windows-audit-101,Configure System Event Log (Security),0.1,2
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,windows-audit-102,Configure System Event Log (Setup),0.1,2
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,windows-audit-103,Configure System Event Log (System),0.1,2
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,windows-audit-205,Audit Computer Account Management,1,1
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,windows-ie-101,IE 64-bit tab,1,2
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,windows-ie-102,Run antimalware programs against ActiveX controls,1,2
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,cis-enforce-password-history-1.1.1,1.1.1 Set Enforce password history to 24 or more passwords,0.7,1
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,cis-minimum-password-age-1.1.3,1.1.3 Set Minimum password age to 1 or more days,0.7,1
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,cis-minimum-password-length-1.1.4,1.1.4 Set Minimum password length to 14 or more characters,0.7,1
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,powershell-script-blocklogging,PowerShell Script Block Logging,1,2
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,powershell-transcription,PowerShell Transcription,1,2
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,microsoft-online-accounts,Microsoft Online Accounts,1,2
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,disable-windows-store,Disable Windows Store,1,3
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,disable-index-encrypted-files,Disable indexing encrypted files,1,2
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,windows-rdp-100,Windows Remote Desktop Configured to Always Prompt for Password,1,2
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,windows-rdp-101,Strong Encryption for Windows Remote Desktop Required,1,2
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,cis-access-cred-manager-2.2.1,2.2.1 Set Access Credential Manager as a trusted caller to No One,0.7,1
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,cis-network-access-2.2.2,2.2.2 Set Access this computer from the network,0.7,1
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,cis-act-as-os-2.2.3,2.2.3 Set Act as part of the operating system to No One,0.7,1
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,cis-add-workstations-2.2.4,2.2.4 Set Add workstations to domain to Administrators,0.7,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_1.1.1.1_Ensure_mounting_of_cramfs_filesystems_is_disabled,Ensure mounting of cramfs filesystems is disabled,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_1.1.1.2_Ensure_mounting_of_freevxfs_filesystems_is_disabled,Ensure mounting of freevxfs filesystems is disabled,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_1.1.1.3_Ensure_mounting_of_jffs2_filesystems_is_disabled,Ensure mounting of jffs2 filesystems is disabled,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_1.1.1.4_Ensure_mounting_of_hfs_filesystems_is_disabled,Ensure mounting of hfs filesystems is disabled,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_1.1.1.5_Ensure_mounting_of_hfsplus_filesystems_is_disabled,Ensure mounting of hfsplus filesystems is disabled,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_1.1.1.6_Ensure_mounting_of_squashfs_filesystems_is_disabled,Ensure mounting of squashfs filesystems is disabled,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_1.1.1.7_Ensure_mounting_of_udf_filesystems_is_disabled,Ensure mounting of udf filesystems is disabled,1,2
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_1.1.1.8_Ensure_mounting_of_FAT_filesystems_is_disabled,Ensure mounting of FAT filesystems is disabled,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_1.1.3_Ensure_nodev_option_set_on_tmp_partition,Ensure nodev option set on /tmp partition,1,2
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_1.1.4_Ensure_nosuid_option_set_on_tmp_partition,Ensure nosuid option set on /tmp partition,1,2
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_1.1.7_Ensure_nodev_option_set_on_vartmp_partition,Ensure nodev option set on /var/tmp partition,1,2
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_1.1.8_Ensure_nosuid_option_set_on_vartmp_partition,Ensure nosuid option set on /var/tmp partition,1,2
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_1.1.9_Ensure_noexec_option_set_on_vartmp_partition,Ensure noexec option set on /var/tmp partition,1,2
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_1.1.13_Ensure_nodev_option_set_on_home_partition,Ensure nodev option set on /home partition,1,2
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_1.1.16_Ensure_noexec_option_set_on_devshm_partition,Ensure noexec option set on /dev/shm partition,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_1.3.1_Ensure_AIDE_is_installed,Ensure AIDE is installed,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_1.3.2_Ensure_filesystem_integrity_is_regularly_checked,Ensure filesystem integrity is regularly checked,1,23
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_1.4.1_Ensure_permissions_on_bootloader_config_are_configured,Ensure permissions on bootloader config are configured,1,2
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_1.4.2_Ensure_bootloader_password_is_set,Ensure bootloader password is set,1,2
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_1.5.1_Ensure_core_dumps_are_restricted,Ensure core dumps are restricted,1,2
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_1.7.1.4_Ensure_permissions_on_etcmotd_are_configured,Ensure permissions on /etc/motd are configured,0,10
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_2.2.1.1_Ensure_time_synchronization_is_in_use,Ensure time synchronization is in use,0,2
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_2.3.4_Ensure_telnet_client_is_not_installed,Ensure telnet client is not installed,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_3.1.2_Ensure_packet_redirect_sending_is_disabled,Ensure packet redirect sending is disabled,1,2
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_3.2.1_Ensure_source_routed_packets_are_not_accepted,Ensure source routed packets are not accepted,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_3.2.2_Ensure_ICMP_redirects_are_not_accepted,Ensure ICMP redirects are not accepted,1,2
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_3.2.3_Ensure_secure_ICMP_redirects_are_not_accepted,Ensure secure ICMP redirects are not accepted,1,2
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_3.2.4_Ensure_suspicious_packets_are_logged,Ensure suspicious packets are logged,1,2
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_3.3.3_Ensure_IPv6_is_disabled,Ensure IPv6 is disabled,0,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_3.4.3_Ensure_etchosts.deny_is_configured,Ensure /etc/hosts.deny is configured,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_3.5.1_Ensure_DCCP_is_disabled,Ensure DCCP is disabled,0,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_3.5.2_Ensure_SCTP_is_disabled,Ensure SCTP is disabled,0,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_3.5.3_Ensure_RDS_is_disabled,Ensure RDS is disabled,0,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_3.5.4_Ensure_TIPC_is_disabled,Ensure TIPC is disabled,0,3
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_3.6.2_Ensure_default_deny_firewall_policy,Ensure default deny firewall policy,1,18
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_3.6.3_Ensure_loopback_traffic_is_configured,Ensure loopback traffic is configured,1,6
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_3.6.5_Ensure_firewall_rules_exist_for_all_open_ports,Ensure firewall rules exist for all open ports,1,2
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_4.2.1.4_Ensure_rsyslog_is_configured_to_send_logs_to_a_remote_log_host,Ensure rsyslog is configured to send logs to a remote log host,1,2
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.1.2_Ensure_permissions_on_etccrontab_are_configured,Ensure permissions on /etc/crontab are configured,1,2
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.1.3_Ensure_permissions_on_etccron.hourly_are_configured,Ensure permissions on /etc/cron.hourly are configured,1,4
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.1.4_Ensure_permissions_on_etccron.daily_are_configured,Ensure permissions on /etc/cron.daily are configured,1,4
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.1.5_Ensure_permissions_on_etccron.weekly_are_configured,Ensure permissions on /etc/cron.weekly are configured,1,4
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.1.6_Ensure_permissions_on_etccron.monthly_are_configured,Ensure permissions on /etc/cron.monthly are configured,1,4
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.1.7_Ensure_permissions_on_etccron.d_are_configured,Ensure permissions on /etc/cron.d are configured,1,4
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.1.8_Ensure_atcron_is_restricted_to_authorized_users,Ensure at/cron is restricted to authorized users,1,7
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.2.1_Ensure_permissions_on_etcsshsshd_config_are_configured,Ensure permissions on /etc/ssh/sshd_config are configured,1,2
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.2.4_Ensure_SSH_X11_forwarding_is_disabled,Ensure SSH X11 forwarding is disabled,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.2.5_Ensure_SSH_MaxAuthTries_is_set_to_4_or_less,Ensure SSH MaxAuthTries is set to 4 or less,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.2.8_Ensure_SSH_root_login_is_disabled,Ensure SSH root login is disabled,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.2.10_Ensure_SSH_PermitUserEnvironment_is_disabled,Ensure SSH PermitUserEnvironment is disabled,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.2.11_Ensure_only_approved_MAC_algorithms_are_used,Ensure only approved MAC algorithms are used,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.2.12_Ensure_SSH_Idle_Timeout_Interval_is_configured,Ensure SSH Idle Timeout Interval is configured,1,2
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.2.13_Ensure_SSH_LoginGraceTime_is_set_to_one_minute_or_less,Ensure SSH LoginGraceTime is set to one minute or less,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.2.14_Ensure_SSH_access_is_limited,Ensure SSH access is limited,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.2.15_Ensure_SSH_warning_banner_is_configured,Ensure SSH warning banner is configured,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.3.1_Ensure_password_creation_requirements_are_configured,Ensure password creation requirements are configured,1,7
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.3.3_Ensure_password_reuse_is_limited,Ensure password reuse is limited,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.4.1.1_Ensure_password_expiration_is_90_days_or_less,Ensure password expiration is 90 days or less,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.4.1.2_Ensure_minimum_days_between_password_changes_is_7_or_more,Ensure minimum days between password changes is 7 or more,1,1
linux-node,cis-ubuntu16.04lts-level1-server,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server,1.0.0-3,CIS Ubuntu Linux 16.04 LTS Benchmark Level 1 - Server translated from SCAP,xccdf_org.cisecurity.benchmarks_rule_5.4.1.4_Ensure_inactive_password_lock_is_30_days_or_less,Ensure inactive password lock is 30 days or less,1,1
